Test_data,Method_name,Method_name_simple,BlockSize,Sub_BlockSize,SAMEMAlign_Version,Vaild_tests,Q_view,TC_view,SPview,Time_view,Q,TC,SP,Time,Maxmemory,Q_raw,TC_raw,Time_raw,Memory_raw
23sr,abpoa-10,abpoa,10,100,0.10.0.0,1,,,-4382.573947,12.51,,,-4382.573947,12.51,347172,,,,
23sr,abpoa-100,abpoa,100,100,0.10.0.0,1,,,-5916.154032,26.4,,,-5916.154032,26.4,432096,,,,
23sr,abpoa_highsim-1000,abpoa_highsim,1000,100,0.10.0.0,1,,,-3752.910184,3.63,,,-3752.910184,3.63,45828,,,,
23sr,abpoa-1000,abpoa,1000,100,0.10.0.0,1,,,-5743.173552,113.3,,,-5743.173552,113.3,473780,,,,
23sr,abpoa_highsim-1200,abpoa_highsim,1200,100,0.10.0.0,1,,,-3377.490723,2.94,,,-3377.490723,2.94,45068,,,,
23sr,abpoa-1200,abpoa,1200,100,0.10.0.0,1,,,-4348.545315,61.93,,,-4348.545315,61.93,403956,,,,
23sr,abpoa_highsim-1500,abpoa_highsim,1500,100,0.10.0.0,1,,,-3528.884141,3.02,,,-3528.884141,3.02,63936,,,,
23sr,abpoa-1500,abpoa,1500,100,0.10.0.0,1,,,-7364.644808,66.44,,,-7364.644808,66.44,603112,,,,
23sr,abpoa_highsim-20,abpoa_highsim,20,100,0.10.0.0,1,,,-17411.76876,5.03,,,-17411.76876,5.03,135368,,,,
23sr,abpoa_highsim-200,abpoa_highsim,200,100,0.10.0.0,1,,,-18218.1865,3.64,,,-18218.1865,3.64,65876,,,,
23sr,abpoa-200,abpoa,200,100,0.10.0.0,1,,,-8189.1754,49.87,,,-8189.1754,49.87,789056,,,,
23sr,abpoa_highsim-2000,abpoa_highsim,2000,100,0.10.0.0,1,,,-4448.129729,7.34,,,-4448.129729,7.34,262624,,,,
23sr,abpoa-2000,abpoa,2000,100,0.10.0.0,1,,,-4448.129729,5.66,,,-4448.129729,5.66,262628,,,,
23sr,abpoa_highsim-300,abpoa_highsim,300,100,0.10.0.0,1,,,-7548.944476,2.31,,,-7548.944476,2.31,53804,,,,
23sr,abpoa-300,abpoa,300,100,0.10.0.0,1,,,-7525.651506,176.52,,,-7525.651506,176.52,1213336,,,,
23sr,abpoa_highsim-400,abpoa_highsim,400,100,0.10.0.0,1,,,-8764.825531,2.45,,,-8764.825531,2.45,49748,,,,
23sr,abpoa-400,abpoa,400,100,0.10.0.0,1,,,-21193.34903,823.96,,,-21193.34903,823.96,4093972,,,,
23sr,abpoa_highsim-50,abpoa_highsim,50,100,0.10.0.0,1,,,-7785.305441,2.74,,,-7785.305441,2.74,82096,,,,
23sr,abpoa-50,abpoa,50,100,0.10.0.0,1,,,-6124.49434,20.22,,,-6124.49434,20.22,500992,,,,
23sr,abpoa_highsim-500,abpoa_highsim,500,100,0.10.0.0,1,,,-4700.767877,2.33,,,-4700.767877,2.33,46176,,,,
23sr,abpoa-500,abpoa,500,100,0.10.0.0,1,,,-6565.835842,154.64,,,-6565.835842,154.64,656328,,,,
23sr,abpoa_highsim-600,abpoa_highsim,600,100,0.10.0.0,1,,,-3989.343019,2.27,,,-3989.343019,2.27,41644,,,,
23sr,abpoa-600,abpoa,600,100,0.10.0.0,1,,,-8153.099142,160.93,,,-8153.099142,160.93,675120,,,,
23sr,abpoa_highsim-800,abpoa_highsim,800,100,0.10.0.0,1,,,-3425.596363,2.56,,,-3425.596363,2.56,41032,,,,
23sr,abpoa-800,abpoa,800,100,0.10.0.0,1,,,-7747.625785,133.35,,,-7747.625785,133.35,881692,,,,
23sr,fftns1-10,fftns1,10,100,0.10.0.0,1,,,-2657.939611,84.62,,,-2657.939611,84.62,381900,,,,
23sr,fftns1-100,fftns1,100,100,0.10.0.0,1,,,-2828.670997,348.57,,,-2828.670997,348.57,354572,,,,
23sr,fftns1_highsim-1000,fftns1_highsim,1000,100,0.10.0.0,1,,,-3113.210228,10.84,,,-3113.210228,10.84,171876,,,,
23sr,fftns1-1000,fftns1,1000,100,0.10.0.0,1,,,-2561.540016,89.4,,,-2561.540016,89.4,341668,,,,
