Test_data,Method_name,Method_name_simple,BlockSize,Sub_BlockSize,SAMEMAlign_Version,Vaild_tests,Q_view,TC_view,SPview,Time_view,Q,TC,SP,Time,Maxmemory,Q_raw,TC_raw,Time_raw,Memory_raw
23sr,fftns1_highsim-1200,fftns1_highsim,1200,100,0.10.0.0,1,,,-2561.488363,7.33,,,-2561.488363,7.33,181520,,,,
23sr,fftns1-1200,fftns1,1200,100,0.10.0.0,1,,,-2471.449342,70.36,,,-2471.449342,70.36,490824,,,,
23sr,fftns1_highsim-1500,fftns1_highsim,1500,100,0.10.0.0,1,,,-2674.238402,8.01,,,-2674.238402,8.01,198404,,,,
23sr,fftns1-1500,fftns1,1500,100,0.10.0.0,1,,,-2655.297767,63.95,,,-2655.297767,63.95,422916,,,,
23sr,fftns1_highsim-20,fftns1_highsim,20,100,0.10.0.0,1,,,-14939.04999,149.86,,,-14939.04999,149.86,116820,,,,
23sr,fftns1-20,fftns1,20,100,0.10.0.0,1,,,-2512.059731,65.45,,,-2512.059731,65.45,365520,,,,
23sr,fftns1_highsim-200,fftns1_highsim,200,100,0.10.0.0,1,,,-12800.67489,19.87,,,-12800.67489,19.87,110872,,,,
23sr,fftns1-200,fftns1,200,100,0.10.0.0,1,,,-2770.928666,229.78,,,-2770.928666,229.78,290140,,,,
23sr,fftns1_highsim-2000,fftns1_highsim,2000,100,0.10.0.0,1,,,-2366.957006,11.09,,,-2366.957006,11.09,566344,,,,
23sr,fftns1-2000,fftns1,2000,100,0.10.0.0,1,,,-2366.957006,10.52,,,-2366.957006,10.52,538832,,,,
23sr,fftns1_highsim-300,fftns1_highsim,300,100,0.10.0.0,1,,,-5917.250712,16.77,,,-5917.250712,16.77,107332,,,,
23sr,fftns1-300,fftns1,300,100,0.10.0.0,1,,,-2738.150614,209.07,,,-2738.150614,209.07,259136,,,,
23sr,fftns1_highsim-400,fftns1_highsim,400,100,0.10.0.0,1,,,-7028.726282,18.85,,,-7028.726282,18.85,239156,,,,
23sr,fftns1_highsim-50,fftns1_highsim,50,100,0.10.0.0,1,,,-6200.297587,42.22,,,-6200.297587,42.22,56888,,,,
23sr,fftns1-50,fftns1,50,100,0.10.0.0,1,,,-2500.403886,93.3,,,-2500.403886,93.3,348808,,,,
23sr,fftns1_highsim-500,fftns1_highsim,500,100,0.10.0.0,1,,,-3176.924703,10.44,,,-3176.924703,10.44,94296,,,,
23sr,fftns1-500,fftns1,500,100,0.10.0.0,1,,,-2604.493301,142.8,,,-2604.493301,142.8,356784,,,,
23sr,fftns1_highsim-600,fftns1_highsim,600,100,0.10.0.0,1,,,-3193.948869,8.08,,,-3193.948869,8.08,97272,,,,
23sr,fftns1-600,fftns1,600,100,0.10.0.0,1,,,-2581.994579,135.37,,,-2581.994579,135.37,359468,,,,
23sr,fftns1_highsim-800,fftns1_highsim,800,100,0.10.0.0,1,,,-3081.608151,8.85,,,-3081.608151,8.85,161004,,,,
23sr,fftns1-800,fftns1,800,100,0.10.0.0,1,,,-2619.904953,108.75,,,-2619.904953,108.75,313152,,,,
23sr,wmsa-100,wmsa,100,100,0.10.0.0,1,,,-1806.882932,24.2,,,-1806.882932,24.2,362660,,,,
23sr,wmsa_highsim-1000,wmsa_highsim,1000,100,0.10.0.0,1,,,-2690.056684,4.16,,,-2690.056684,4.16,82752,,,,
23sr,wmsa-1000,wmsa,1000,100,0.10.0.0,1,,,-2056.803388,42.26,,,-2056.803388,42.26,386568,,,,
23sr,wmsa_highsim-1200,wmsa_highsim,1200,100,0.10.0.0,1,,,-3502.360223,3.94,,,-3502.360223,3.94,112348,,,,
23sr,wmsa-1200,wmsa,1200,100,0.10.0.0,1,,,-2076.458522,28.45,,,-2076.458522,28.45,313460,,,,
23sr,wmsa_highsim-1500,wmsa_highsim,1500,100,0.10.0.0,1,,,-3594.077082,4.16,,,-3594.077082,4.16,111256,,,,
23sr,wmsa-1500,wmsa,1500,100,0.10.0.0,1,,,-2382.708883,15.81,,,-2382.708883,15.81,300424,,,,
23sr,wmsa_highsim-20,wmsa_highsim,20,100,0.10.0.0,1,,,-15362.12834,7.79,,,-15362.12834,7.79,137328,,,,
23sr,wmsa-20,wmsa,20,100,0.10.0.0,1,,,-1742.628422,10.02,,,-1742.628422,10.02,413136,,,,
23sr,wmsa_highsim-200,wmsa_highsim,200,100,0.10.0.0,1,,,-12676.43819,5.25,,,-12676.43819,5.25,82172,,,,
23sr,wmsa-200,wmsa,200,100,0.10.0.0,1,,,-2238.473147,29.85,,,-2238.473147,29.85,332456,,,,
23sr,wmsa_highsim-2000,wmsa_highsim,2000,100,0.10.0.0,1,,,-2408.501229,2.58,,,-2408.501229,2.58,182564,,,,
23sr,wmsa-2000,wmsa,2000,100,0.10.0.0,1,,,-2408.501229,2.87,,,-2408.501229,2.87,176252,,,,
23sr,wmsa_highsim-300,wmsa_highsim,300,100,0.10.0.0,1,,,-6412.759624,4.63,,,-6412.759624,4.63,58356,,,,
23sr,wmsa-300,wmsa,300,100,0.10.0.0,1,,,-1766.849664,32.54,,,-1766.849664,32.54,253344,,,,
23sr,wmsa_highsim-400,wmsa_highsim,400,100,0.10.0.0,1,,,-7158.339562,3.29,,,-7158.339562,3.29,51360,,,,
23sr,wmsa_highsim-50,wmsa_highsim,50,100,0.10.0.0,1,,,-6514.532532,3.55,,,-6514.532532,3.55,93912,,,,
23sr,wmsa-50,wmsa,50,100,0.10.0.0,1,,,-2270.866025,13.51,,,-2270.866025,13.51,363804,,,,
23sr,wmsa_highsim-500,wmsa_highsim,500,100,0.10.0.0,1,,,-3749.030938,3.46,,,-3749.030938,3.46,73432,,,,
23sr,wmsa-500,wmsa,500,100,0.10.0.0,1,,,-2382.369559,55.59,,,-2382.369559,55.59,339376,,,,
23sr,wmsa_highsim-600,wmsa_highsim,600,100,0.10.0.0,1,,,-3410.845427,2.97,,,-3410.845427,2.97,53996,,,,
23sr,wmsa-600,wmsa,600,100,0.10.0.0,1,,,-2400.336915,46.31,,,-2400.336915,46.31,371308,,,,
23sr,wmsa_highsim-800,wmsa_highsim,800,100,0.10.0.0,1,,,-2771.876974,3.43,,,-2771.876974,3.43,69828,,,,
23sr,wmsa-800,wmsa,800,100,0.10.0.0,1,,,-2289.584541,32.34,,,-2289.584541,32.34,314764,,,,
23sr,FMAlign2-10,FMAlign2,10,,,1,,,-10673.70001,6.6,,,-10673.70001,6.6,77192,,,,
23sr,FMAlign2-100,FMAlign2,100,,,1,,,-5392.585974,4.02,,,-5392.585974,4.02,48488,,,,
23sr,FMAlign2-1000,FMAlign2,1000,,,1,,,-2366.957006,12.76,,,-2366.957006,12.76,182828,,,,
23sr,FMAlign2-20,FMAlign2,20,,,1,,,-9367.094394,11.05,,,-9367.094394,11.05,150096,,,,
23sr,FMAlign2-200,FMAlign2,200,,,1,,,-4759.24435,13.28,,,-4759.24435,13.28,245168,,,,
23sr,FMAlign2-2000,FMAlign2,2000,,,1,,,-2366.957006,12.9,,,-2366.957006,12.9,186760,,,,
23sr,FMAlign2-300,FMAlign2,300,,,1,,,-2366.957006,12.3,,,-2366.957006,12.3,187404,,,,
23sr,FMAlign2-400,FMAlign2,400,,,1,,,-2366.957006,12.81,,,-2366.957006,12.81,208792,,,,
23sr,FMAlign2-50,FMAlign2,50,,,1,,,-7357.806484,3.76,,,-7357.806484,3.76,62452,,,,
23sr,FMAlign2-500,FMAlign2,500,,,1,,,-2366.957006,12.75,,,-2366.957006,12.75,209160,,,,
23sr,FMAlign2-800,FMAlign2,800,,,1,,,-2366.957006,13.57,,,-2366.957006,13.57,183100,,,,
23sr,FAME-7,FAME,7,,,0,,,,0.57,,,,0.57,28032,,,,
Complete156,abpoa_highsim-100,abpoa_highsim,100,100,0.10.0.0,1,,,-1227.033333,3.23,,,-1227.033333,3.23,63724,,,,
Complete156,abpoa-100,abpoa,100,100,0.10.0.0,1,,,-870.0081059,6.12,,,-870.0081059,6.12,235604,,,,
Complete156,abpoa_highsim-1000,abpoa_highsim,1000,100,0.10.0.0,1,,,-365.3565757,3.72,,,-365.3565757,3.72,78392,,,,
Complete156,abpoa-1000,abpoa,1000,100,0.10.0.0,1,,,-636.9584781,77.24,,,-636.9584781,77.24,15423996,,,,
Complete156,abpoa_highsim-10000,abpoa_highsim,10000,100,0.10.0.0,1,,,-356.9482217,9.12,,,-356.9482217,9.12,1073532,,,,
Complete156,abpoa-10000,abpoa,10000,100,0.10.0.0,1,,,-365.624483,226.77,,,-365.624483,226.77,15573296,,,,
Complete156,abpoa_highsim-12000,abpoa_highsim,12000,100,0.10.0.0,1,,,-390.9123242,7.1,,,-390.9123242,7.1,1499680,,,,
Complete156,abpoa-12000,abpoa,12000,100,0.10.0.0,1,,,-338.7824648,208.01,,,-338.7824648,208.01,15619580,,,,
Complete156,abpoa_highsim-13000,abpoa_highsim,13000,100,0.10.0.0,1,,,-380.9218362,8.13,,,-380.9218362,8.13,1732088,,,,
Complete156,abpoa-13000,abpoa,13000,100,0.10.0.0,1,,,-331.0119107,212.27,,,-331.0119107,212.27,15632388,,,,
Complete156,abpoa_highsim-15000,abpoa_highsim,15000,100,0.10.0.0,1,,,-386.3877585,10.13,,,-386.3877585,10.13,2242140,,,,
Complete156,abpoa-15000,abpoa,15000,100,0.10.0.0,1,,,-348.7837055,271.88,,,-348.7837055,271.88,15618056,,,,
Complete156,abpoa-20,abpoa,20,100,0.10.0.0,1,,,-508.425641,4.77,,,-508.425641,4.77,73892,,,,
Complete156,abpoa_highsim-200,abpoa_highsim,200,100,0.10.0.0,1,,,-410.9474773,4.19,,,-410.9474773,4.19,64400,,,,
Complete156,abpoa-200,abpoa,200,100,0.10.0.0,1,,,-299.1843672,12.62,,,-299.1843672,12.62,637004,,,,
Complete156,abpoa_highsim-2000,abpoa_highsim,2000,100,0.10.0.0,1,,,-401.834574,3.26,,,-401.834574,3.26,69664,,,,
Complete156,abpoa-2000,abpoa,2000,100,0.10.0.0,1,,,-370.9179487,55.19,,,-370.9179487,55.19,14876924,,,,
Complete156,abpoa_highsim-20000,abpoa_highsim,20000,100,0.10.0.0,1,,,-12927.75045,20.15,,,-12927.75045,20.15,6670492,,,,
Complete156,abpoa-20000,abpoa,20000,100,0.10.0.0,1,,,-350.8731183,457.44,,,-350.8731183,457.44,15631092,,,,
Complete156,abpoa_highsim-3000,abpoa_highsim,3000,100,0.10.0.0,1,,,-410.8119107,3.67,,,-410.8119107,3.67,136916,,,,
Complete156,abpoa-3000,abpoa,3000,100,0.10.0.0,1,,,-346.6416873,66.74,,,-346.6416873,66.74,15169344,,,,
Complete156,abpoa_highsim-4000,abpoa_highsim,4000,100,0.10.0.0,1,,,-357.966005,3.98,,,-357.966005,3.98,229916,,,,
Complete156,abpoa-4000,abpoa,4000,100,0.10.0.0,1,,,-312.9693962,82.03,,,-312.9693962,82.03,15328988,,,,
Complete156,abpoa_highsim-50,abpoa_highsim,50,100,0.10.0.0,1,,,-1694.032093,2.93,,,-1694.032093,2.93,56156,,,,
Complete156,abpoa-50,abpoa,50,100,0.10.0.0,1,,,-539.7615385,4.61,,,-539.7615385,4.61,131804,,,,
Complete156,abpoa_highsim-500,abpoa_highsim,500,100,0.10.0.0,1,,,-381.6391232,4.38,,,-381.6391232,4.38,77380,,,,
Complete156,abpoa-500,abpoa,500,100,0.10.0.0,1,,,-334.1717949,33.84,,,-334.1717949,33.84,14440484,,,,
Complete156,abpoa_highsim-5000,abpoa_highsim,5000,100,0.10.0.0,1,,,-338.6561621,3.83,,,-338.6561621,3.83,295700,,,,
Complete156,abpoa-5000,abpoa,5000,100,0.10.0.0,1,,,-339.1271299,82.02,,,-339.1271299,82.02,15235864,,,,
Complete156,abpoa_highsim-6000,abpoa_highsim,6000,100,0.10.0.0,1,,,-369.183871,3.72,,,-369.183871,3.72,405392,,,,
Complete156,abpoa-6000,abpoa,6000,100,0.10.0.0,1,,,-352.0239041,103.36,,,-352.0239041,103.36,15165548,,,,
Complete156,abpoa_highsim-7000,abpoa_highsim,7000,100,0.10.0.0,1,,,-341.2181969,4.39,,,-341.2181969,4.39,599816,,,,
Complete156,abpoa-7000,abpoa,7000,100,0.10.0.0,1,,,-395.5220844,164.05,,,-395.5220844,164.05,15048052,,,,
Complete156,abpoa_highsim-800,abpoa_highsim,800,100,0.10.0.0,1,,,-338.2335815,3.7,,,-338.2335815,3.7,75044,,,,
Complete156,abpoa-800,abpoa,800,100,0.10.0.0,1,,,-397.6456576,47.02,,,-397.6456576,47.02,14614760,,,,
Complete156,abpoa_highsim-8000,abpoa_highsim,8000,100,0.10.0.0,1,,,-395.1612903,5.69,,,-395.1612903,5.69,752884,,,,
Complete156,abpoa-8000,abpoa,8000,100,0.10.0.0,1,,,-356.5,181.46,,,-356.5,181.46,15112036,,,,
Complete156,abpoa_highsim-9000,abpoa_highsim,9000,100,0.10.0.0,1,,,-400.8086849,6.31,,,-400.8086849,6.31,950184,,,,
Complete156,abpoa-9000,abpoa,9000,100,0.10.0.0,1,,,-345.5765922,211.54,,,-345.5765922,211.54,15287472,,,,
Complete156,fftns1_highsim-100,fftns1_highsim,100,100,0.10.0.0,1,,,-1134.670637,18.86,,,-1134.670637,18.86,58508,,,,
Complete156,fftns1_highsim-1000,fftns1_highsim,1000,100,0.10.0.0,1,,,-281.7028122,10.75,,,-281.7028122,10.75,80888,,,,
Complete156,fftns1_highsim-10000,fftns1_highsim,10000,100,0.10.0.0,1,,,-281.6914806,10.04,,,-281.6914806,10.04,83372,,,,
Complete156,fftns1-10000,fftns1,10000,100,0.10.0.0,1,,,-285.8837055,31.57,,,-285.8837055,31.57,347784,,,,
Complete156,fftns1_highsim-12000,fftns1_highsim,12000,100,0.10.0.0,1,,,-281.6427626,11.05,,,-281.6427626,11.05,112108,,,,
Complete156,fftns1-12000,fftns1,12000,100,0.10.0.0,1,,,-286.0647643,32.32,,,-286.0647643,32.32,362488,,,,
Complete156,fftns1_highsim-13000,fftns1_highsim,13000,100,0.10.0.0,1,,,-281.6658395,11.27,,,-281.6658395,11.27,121304,,,,
Complete156,fftns1-13000,fftns1,13000,100,0.10.0.0,1,,,-283.6299421,32.42,,,-283.6299421,32.42,342696,,,,
Complete156,fftns1_highsim-15000,fftns1_highsim,15000,100,0.10.0.0,1,,,-281.666005,12.72,,,-281.666005,12.72,117144,,,,
Complete156,fftns1-15000,fftns1,15000,100,0.10.0.0,1,,,-283.6828784,28.93,,,-283.6828784,28.93,347728,,,,
Complete156,fftns1-20,fftns1,20,100,0.10.0.0,1,,,-476.3448304,27.46,,,-476.3448304,27.46,76180,,,,
Complete156,fftns1_highsim-200,fftns1_highsim,200,100,0.10.0.0,1,,,-303.953598,17.92,,,-303.953598,17.92,65228,,,,
Complete156,fftns1-200,fftns1,200,100,0.10.0.0,1,,,-275.9397849,35.64,,,-275.9397849,35.64,654304,,,,
Complete156,fftns1_highsim-2000,fftns1_highsim,2000,100,0.10.0.0,1,,,-281.6790736,8.99,,,-281.6790736,8.99,53196,,,,
Complete156,fftns1-2000,fftns1,2000,100,0.10.0.0,1,,,-281.6878412,42.22,,,-281.6878412,42.22,643532,,,,
Complete156,fftns1_highsim-20000,fftns1_highsim,20000,100,0.10.0.0,1,,,-12738.68916,27.03,,,-12738.68916,27.03,1911852,,,,
Complete156,fftns1-20000,fftns1,20000,100,0.10.0.0,1,,,-273.8438379,32.93,,,-273.8438379,32.93,334752,,,,
Complete156,fftns1_highsim-3000,fftns1_highsim,3000,100,0.10.0.0,1,,,-272.5899917,7.93,,,-272.5899917,7.93,47680,,,,
Complete156,fftns1-3000,fftns1,3000,100,0.10.0.0,1,,,-285.4775848,37.52,,,-285.4775848,37.52,494188,,,,
Complete156,fftns1_highsim-4000,fftns1_highsim,4000,100,0.10.0.0,1,,,-281.6655914,7.41,,,-281.6655914,7.41,40004,,,,
Complete156,fftns1-4000,fftns1,4000,100,0.10.0.0,1,,,-281.6903226,31.78,,,-281.6903226,31.78,443912,,,,
Complete156,fftns1_highsim-50,fftns1_highsim,50,100,0.10.0.0,1,,,-1592.909595,20.96,,,-1592.909595,20.96,59280,,,,
Complete156,fftns1-50,fftns1,50,100,0.10.0.0,1,,,-480.1131514,21.38,,,-480.1131514,21.38,126236,,,,
Complete156,fftns1_highsim-500,fftns1_highsim,500,100,0.10.0.0,1,,,-302.2102564,14.22,,,-302.2102564,14.22,67712,,,,
Complete156,fftns1-500,fftns1,500,100,0.10.0.0,1,,,-275.929694,60.3,,,-275.929694,60.3,758332,,,,
Complete156,fftns1_highsim-5000,fftns1_highsim,5000,100,0.10.0.0,1,,,-281.7340778,7.01,,,-281.7340778,7.01,40248,,,,
Complete156,fftns1-5000,fftns1,5000,100,0.10.0.0,1,,,-285.7371381,34.98,,,-285.7371381,34.98,418352,,,,
Complete156,fftns1_highsim-6000,fftns1_highsim,6000,100,0.10.0.0,1,,,-281.6901572,7.38,,,-281.6901572,7.38,51204,,,,
Complete156,fftns1-6000,fftns1,6000,100,0.10.0.0,1,,,-276.1491315,34.4,,,-276.1491315,34.4,417932,,,,
Complete156,fftns1_highsim-7000,fftns1_highsim,7000,100,0.10.0.0,1,,,-261.8111663,7.71,,,-261.8111663,7.71,43184,,,,
Complete156,fftns1-7000,fftns1,7000,100,0.10.0.0,1,,,-282.3965261,32.42,,,-282.3965261,32.42,376688,,,,
Complete156,fftns1_highsim-800,fftns1_highsim,800,100,0.10.0.0,1,,,-283.729115,11.28,,,-283.729115,11.28,72016,,,,
Complete156,fftns1-800,fftns1,800,100,0.10.0.0,1,,,-312.4997519,47.24,,,-312.4997519,47.24,667856,,,,
Complete156,fftns1_highsim-8000,fftns1_highsim,8000,100,0.10.0.0,1,,,-261.8133995,8.99,,,-261.8133995,8.99,58984,,,,
Complete156,fftns1-8000,fftns1,8000,100,0.10.0.0,1,,,-277.5364764,34.58,,,-277.5364764,34.58,414492,,,,
Complete156,fftns1_highsim-9000,fftns1_highsim,9000,100,0.10.0.0,1,,,-281.7038875,9.59,,,-281.7038875,9.59,75540,,,,
Complete156,fftns1-9000,fftns1,9000,100,0.10.0.0,1,,,-301.7871795,32.67,,,-301.7871795,32.67,360012,,,,
Complete156,wmsa_highsim-100,wmsa_highsim,100,100,0.10.0.0,1,,,-1104.395533,5.07,,,-1104.395533,5.07,62244,,,,
Complete156,wmsa_highsim-1000,wmsa_highsim,1000,100,0.10.0.0,1,,,-245.930273,3.38,,,-245.930273,3.38,81168,,,,
Complete156,wmsa_highsim-10000,wmsa_highsim,10000,100,0.10.0.0,1,,,-245.9267163,7.43,,,-245.9267163,7.43,47124,,,,
Complete156,wmsa-10000,wmsa,10000,100,0.10.0.0,1,,,-245.061373,27.74,,,-245.061373,27.74,343924,,,,
Complete156,wmsa_highsim-12000,wmsa_highsim,12000,100,0.10.0.0,1,,,-244.843507,8.73,,,-244.843507,8.73,50200,,,,
Complete156,wmsa-12000,wmsa,12000,100,0.10.0.0,1,,,-244.8019851,29.02,,,-244.8019851,29.02,363336,,,,
Complete156,wmsa_highsim-13000,wmsa_highsim,13000,100,0.10.0.0,1,,,-244.843507,8.58,,,-244.843507,8.58,48856,,,,
Complete156,wmsa-13000,wmsa,13000,100,0.10.0.0,1,,,-245.1854425,27.56,,,-245.1854425,27.56,353176,,,,
Complete156,wmsa_highsim-15000,wmsa_highsim,15000,100,0.10.0.0,1,,,-244.8470637,11.42,,,-244.8470637,11.42,52708,,,,
Complete156,wmsa-15000,wmsa,15000,100,0.10.0.0,1,,,-245.4179487,28.45,,,-245.4179487,28.45,351448,,,,
Complete156,wmsa-20,wmsa,20,100,0.10.0.0,1,,,-446.6494624,6.35,,,-446.6494624,6.35,76132,,,,
Complete156,wmsa_highsim-200,wmsa_highsim,200,100,0.10.0.0,1,,,-247.0935484,4.21,,,-247.0935484,4.21,60380,,,,
Complete156,wmsa-200,wmsa,200,100,0.10.0.0,1,,,-270.3075269,17.51,,,-270.3075269,17.51,690352,,,,
Complete156,wmsa_highsim-2000,wmsa_highsim,2000,100,0.10.0.0,1,,,-245.9301902,3.82,,,-245.9301902,3.82,63696,,,,
Complete156,wmsa-2000,wmsa,2000,100,0.10.0.0,1,,,-246.891067,28.73,,,-246.891067,28.73,631816,,,,
Complete156,wmsa_highsim-20000,wmsa_highsim,20000,100,0.10.0.0,1,,,-12704.69992,16.99,,,-12704.69992,16.99,183340,,,,
Complete156,wmsa-20000,wmsa,20000,100,0.10.0.0,1,,,-244.5327543,31.66,,,-244.5327543,31.66,361156,,,,
Complete156,wmsa_highsim-3000,wmsa_highsim,3000,100,0.10.0.0,1,,,-248.8164599,4.24,,,-248.8164599,4.24,52080,,,,
Complete156,wmsa-3000,wmsa,3000,100,0.10.0.0,1,,,-250.1986766,27.34,,,-250.1986766,27.34,486308,,,,
Complete156,wmsa_highsim-4000,wmsa_highsim,4000,100,0.10.0.0,1,,,-245.9525227,4.1,,,-245.9525227,4.1,43944,,,,
Complete156,wmsa-4000,wmsa,4000,100,0.10.0.0,1,,,-244.9685691,24.14,,,-244.9685691,24.14,421084,,,,
Complete156,wmsa_highsim-50,wmsa_highsim,50,100,0.10.0.0,1,,,-1551.597601,5.14,,,-1551.597601,5.14,43740,,,,
Complete156,wmsa-50,wmsa,50,100,0.10.0.0,1,,,-441.2591398,6.31,,,-441.2591398,6.31,131488,,,,
Complete156,wmsa_highsim-500,wmsa_highsim,500,100,0.10.0.0,1,,,-249.3224152,3.86,,,-249.3224152,3.86,69148,,,,
Complete156,wmsa-500,wmsa,500,100,0.10.0.0,1,,,-259.9651778,33.82,,,-259.9651778,33.82,732528,,,,
Complete156,wmsa_highsim-5000,wmsa_highsim,5000,100,0.10.0.0,1,,,-245.9489661,4.42,,,-245.9489661,4.42,37548,,,,
Complete156,wmsa-5000,wmsa,5000,100,0.10.0.0,1,,,-247.0630273,27.64,,,-247.0630273,27.64,424148,,,,
Complete156,wmsa_highsim-6000,wmsa_highsim,6000,100,0.10.0.0,1,,,-246.5396195,4.61,,,-246.5396195,4.61,35272,,,,
Complete156,wmsa-6000,wmsa,6000,100,0.10.0.0,1,,,-246.7461538,26.72,,,-246.7461538,26.72,417968,,,,
Complete156,wmsa_highsim-7000,wmsa_highsim,7000,100,0.10.0.0,1,,,-245.930273,5.8,,,-245.930273,5.8,99680,,,,
Complete156,wmsa-7000,wmsa,7000,100,0.10.0.0,1,,,-245.2535153,27.25,,,-245.2535153,27.25,385888,,,,
Complete156,wmsa_highsim-800,wmsa_highsim,800,100,0.10.0.0,1,,,-248.0208437,3.25,,,-248.0208437,3.25,68080,,,,
Complete156,wmsa-800,wmsa,800,100,0.10.0.0,1,,,-248.9923077,31.98,,,-248.9923077,31.98,660816,,,,
Complete156,wmsa_highsim-8000,wmsa_highsim,8000,100,0.10.0.0,1,,,-247.9093466,6.59,,,-247.9093466,6.59,47160,,,,
Complete156,wmsa-8000,wmsa,8000,100,0.10.0.0,1,,,-244.8298594,27.52,,,-244.8298594,27.52,363228,,,,
Complete156,wmsa_highsim-9000,wmsa_highsim,9000,100,0.10.0.0,1,,,-245.9267163,7.62,,,-245.9267163,7.62,48128,,,,
Complete156,wmsa-9000,wmsa,9000,100,0.10.0.0,1,,,-245.120182,31.27,,,-245.120182,31.27,356984,,,,
Complete156,FAME-7,FAME,7,,,1,,,-403.327957,4.51,,,-403.327957,4.51,101484,,,,
Complete156,FMAlign2-10,FMAlign2,10,,,1,,,-870.2995864,5.05,,,-870.2995864,5.05,130264,,,,
Complete156,FMAlign2-100,FMAlign2,100,,,1,,,-346.7702233,1.31,,,-346.7702233,1.31,108572,,,,
