Test_data,Method_name,Method_name_simple,BlockSize,Sub_BlockSize,SAMEMAlign_Version,Vaild_tests,Q_view,TC_view,SPview,Time_view,Q,TC,SP,Time,Maxmemory,Q_raw,TC_raw,Time_raw,Memory_raw
RNA-255,abpoa_highsim-50,abpoa_highsim,50,100,0.10.0.0,10,0.9568999999999999¡À0.005146843692983113,0.5359¡À0.06833366666585365,,0.993¡À0.07029224708315991,0.9568999999999999,0.5359,,0.993,22792,"[0.965, 0.96, 0.954, 0.95, 0.955, 0.96, 0.949, 0.953, 0.962, 0.961]","[0.628, 0.398, 0.53, 0.583, 0.52, 0.618, 0.508, 0.532, 0.455, 0.587]","[0.89, 0.89, 1.05, 1.02, 0.97, 0.91, 1.03, 1.05, 1.1, 1.02]","[19448, 22252, 22168, 21652, 20528, 22176, 18684, 20572, 22792, 21644]"
RNA-255,abpoa-50,abpoa,50,100,0.10.0.0,10,0.8880000000000001¡À0.02940748204114051,0.5422¡À0.08904695390635213,,14.457999999999998¡À3.1787035092943157,0.8880000000000001,0.5422,,14.457999999999998,190212,"[0.913, 0.908, 0.882, 0.85, 0.874, 0.923, 0.896, 0.896, 0.825, 0.913]","[0.613, 0.622, 0.572, 0.445, 0.528, 0.665, 0.505, 0.531, 0.347, 0.594]","[10.07, 12.66, 9.09, 16.58, 19.29, 15.11, 12.9, 18.72, 14.86, 15.3]","[118384, 132028, 129328, 190212, 176664, 156140, 118144, 157084, 156456, 170472]"
RNA-255,abpoa_highsim-500,abpoa_highsim,500,100,0.10.0.0,10,0.9779¡À0.0029816103031751174,0.6889000000000001¡À0.03727049771602197,,0.8310000000000001¡À0.09934284070832683,0.9779,0.6889000000000001,,0.8310000000000001,66340,"[0.979, 0.979, 0.976, 0.977, 0.97, 0.979, 0.978, 0.981, 0.98, 0.98]","[0.719, 0.715, 0.672, 0.684, 0.655, 0.766, 0.629, 0.693, 0.655, 0.701]","[0.96, 0.69, 0.82, 0.76, 0.72, 0.82, 0.81, 0.97, 0.98, 0.78]","[36616, 22788, 25348, 15076, 10768, 15112, 23772, 66340, 46656, 15116]"
RNA-255,abpoa-500,abpoa,500,100,0.10.0.0,10,0.9226000000000001¡À0.01194319890146688,0.5818¡À0.05892503712345033,,5.881¡À0.8527185936755456,0.9226000000000001,0.5818,,5.881,115720,"[0.926, 0.915, 0.929, 0.925, 0.926, 0.947, 0.911, 0.914, 0.902, 0.931]","[0.626, 0.616, 0.576, 0.599, 0.63, 0.642, 0.526, 0.566, 0.435, 0.602]","[4.77, 5.4, 7.32, 6.68, 4.68, 6.0, 5.5600000000000005, 6.46, 6.74, 5.2]","[86364, 83884, 104316, 97272, 88624, 84204, 103604, 98032, 115720, 95060]"
RNA-255,abpoa_highsim-600,abpoa_highsim,600,100,0.10.0.0,10,0.9795999999999999¡À0.002457641145488904,0.6942999999999999¡À0.04195008939203824,,0.8789999999999999¡À0.17392239648762892,0.9795999999999999,0.6942999999999999,,0.8789999999999999,89224,"[0.979, 0.979, 0.976, 0.978, 0.977, 0.982, 0.979, 0.98, 0.985, 0.981]","[0.719, 0.729, 0.677, 0.684, 0.666, 0.777, 0.625, 0.693, 0.649, 0.724]","[0.75, 0.78, 0.82, 0.79, 0.75, 0.72, 0.91, 1.18, 1.24, 0.85]","[36612, 55256, 25348, 32792, 28020, 15108, 23768, 66340, 89224, 49112]"
RNA-255,abpoa-600,abpoa,600,100,0.10.0.0,10,0.9272¡À0.011258774356030043,0.5931¡À0.05897194248114945,,4.954¡À0.5346625103745353,0.9272,0.5931,,4.954,114556,"[0.926, 0.914, 0.93, 0.934, 0.932, 0.95, 0.93, 0.913, 0.911, 0.932]","[0.641, 0.63, 0.594, 0.609, 0.64, 0.658, 0.551, 0.566, 0.445, 0.597]","[4.66, 4.4, 5.8, 4.52, 4.25, 5.18, 4.67, 5.9, 5.02, 5.14]","[85804, 83908, 104100, 96112, 88220, 84164, 99936, 98748, 114556, 95448]"
RNA-255,abpoa_highsim-700,abpoa_highsim,700,100,0.10.0.0,10,0.9800000000000001¡À0.003872983346207421,0.6925¡À0.03539562119810866,,0.932¡À0.12440257232067187,0.9800000000000001,0.6925,,0.932,90292,"[0.979, 0.979, 0.976, 0.977, 0.976, 0.988, 0.977, 0.98, 0.985, 0.983]","[0.719, 0.723, 0.677, 0.681, 0.673, 0.752, 0.63, 0.693, 0.652, 0.725]","[0.84, 0.89, 0.87, 0.9, 0.8, 0.95, 0.83, 1.2, 1.13, 0.91]","[36612, 55948, 25348, 40340, 32844, 70484, 37080, 66344, 90292, 60876]"
RNA-255,abpoa-700,abpoa,700,100,0.10.0.0,10,0.9298¡À0.0066603303221386915,0.5882¡À0.054171579264407646,,3.904¡À0.6000199996666776,0.9298,0.5882,,3.904,114956,"[0.935, 0.924, 0.929, 0.928, 0.937, 0.937, 0.934, 0.932, 0.914, 0.928]","[0.631, 0.622, 0.583, 0.583, 0.637, 0.646, 0.556, 0.578, 0.449, 0.597]","[3.96, 3.1, 5.35, 3.57, 3.2800000000000002, 4.04, 3.48, 4.15, 3.89, 4.22]","[86220, 82344, 101428, 96876, 87908, 86328, 99536, 96172, 114956, 95732]"
RNA-255,abpoa_highsim-800,abpoa_highsim,800,100,0.10.0.0,10,0.9808¡À0.0040199502484483595,0.6947¡À0.033864583269250466,,0.9490000000000001¡À0.09669022701390248,0.9808,0.6947,,0.9490000000000001,90292,"[0.979, 0.982, 0.976, 0.975, 0.978, 0.988, 0.978, 0.984, 0.985, 0.983]","[0.719, 0.723, 0.677, 0.687, 0.673, 0.752, 0.638, 0.702, 0.652, 0.724]","[0.82, 0.97, 0.87, 0.95, 0.81, 1.0, 1.07, 0.92, 1.13, 0.95]","[36612, 62924, 25344, 44064, 32836, 70488, 48036, 41956, 90292, 69252]"
RNA-255,abpoa-800,abpoa,800,100,0.10.0.0,10,0.9353¡À0.00945568612000204,0.591¡À0.05293958821146987,,3.28¡À0.5017369828904383,0.9353,0.591,,3.28,114496,"[0.949, 0.924, 0.945, 0.926, 0.941, 0.945, 0.939, 0.933, 0.92, 0.931]","[0.644, 0.62, 0.611, 0.582, 0.628, 0.632, 0.559, 0.581, 0.451, 0.602]","[2.35, 3.56, 4.12, 3.68, 2.64, 3.06, 3.18, 3.18, 3.27, 3.76]","[83516, 82084, 99464, 97056, 87664, 85540, 99624, 96040, 114496, 95368]"
